##################################################
         Track rate for each run number           
##################################################
19 Run 	 Tracks: 1790.000000 	 Weight: 0.000393 	 Events: 2938.000000 	 EventRate: 4.100110 
20 Run 	 Tracks: 4426.000000 	 Weight: 0.000973 	 Events: 7271.000000 	 EventRate: 3.973979 
21 Run 	 Tracks: 88.000000 	 Weight: 0.000019 	 Events: 148.000000 	 EventRate: 5.379709 
22 Run 	 Tracks: 16637.000000 	 Weight: 0.003657 	 Events: 27475.000000 	 EventRate: 4.083471 
23 Run 	 Tracks: 6231.000000 	 Weight: 0.001370 	 Events: 10238.000000 	 EventRate: 4.220861 
24 Run 	 Tracks: 21214.000000 	 Weight: 0.004663 	 Events: 34951.000000 	 EventRate: 4.461052 
25 Run 	 Tracks: 122.000000 	 Weight: 0.000027 	 Events: 209.000000 	 EventRate: 0.999446 
26 Run 	 Tracks: 5245.000000 	 Weight: 0.001153 	 Events: 8723.000000 	 EventRate: 4.135828 
27 Run 	 Tracks: 2200.000000 	 Weight: 0.000484 	 Events: 3520.000000 	 EventRate: 4.231305 
28 Run 	 Tracks: 15257.000000 	 Weight: 0.003353 	 Events: 25036.000000 	 EventRate: 2.554960 
29 Run 	 Tracks: 1278.000000 	 Weight: 0.000281 	 Events: 2090.000000 	 EventRate: 4.170177 
30 Run 	 Tracks: 81.000000 	 Weight: 0.000018 	 Events: 142.000000 	 EventRate: 3.834760 
31 Run 	 Tracks: 6725.000000 	 Weight: 0.001478 	 Events: 11168.000000 	 EventRate: 4.449915 
32 Run 	 Tracks: 216.000000 	 Weight: 0.000047 	 Events: 851.000000 	 EventRate: 0.761043 
33 Run 	 Tracks: 2840.000000 	 Weight: 0.000624 	 Events: 4730.000000 	 EventRate: 4.169814 
34 Run 	 Tracks: 33991.000000 	 Weight: 0.007471 	 Events: 56055.000000 	 EventRate: 2.499920 
35 Run 	 Tracks: 2690.000000 	 Weight: 0.000591 	 Events: 4464.000000 	 EventRate: 4.165071 
36 Run 	 Tracks: 2627.000000 	 Weight: 0.000577 	 Events: 4315.000000 	 EventRate: 4.128847 
37 Run 	 Tracks: 1751.000000 	 Weight: 0.000385 	 Events: 2914.000000 	 EventRate: 4.022892 
38 Run 	 Tracks: 1684.000000 	 Weight: 0.000370 	 Events: 6322.000000 	 EventRate: 1.016089 
39 Run 	 Tracks: 2647.000000 	 Weight: 0.000582 	 Events: 4371.000000 	 EventRate: 4.099449 
40 Run 	 Tracks: 665.000000 	 Weight: 0.000146 	 Events: 1098.000000 	 EventRate: 4.161306 
41 Run 	 Tracks: 834.000000 	 Weight: 0.000183 	 Events: 1372.000000 	 EventRate: 4.280501 
42 Run 	 Tracks: 8823.000000 	 Weight: 0.001939 	 Events: 13861.000000 	 EventRate: 4.341371 
43 Run 	 Tracks: 3066.000000 	 Weight: 0.000674 	 Events: 5145.000000 	 EventRate: 4.620434 
44 Run 	 Tracks: 2738.000000 	 Weight: 0.000602 	 Events: 4573.000000 	 EventRate: 4.028304 
45 Run 	 Tracks: 15329.000000 	 Weight: 0.003369 	 Events: 25188.000000 	 EventRate: 4.497009 
46 Run 	 Tracks: 2345.000000 	 Weight: 0.000515 	 Events: 3897.000000 	 EventRate: 4.180848 
47 Run 	 Tracks: 1344.000000 	 Weight: 0.000295 	 Events: 2206.000000 	 EventRate: 0.473564 
48 Run 	 Tracks: 2073.000000 	 Weight: 0.000456 	 Events: 3369.000000 	 EventRate: 4.572188 
49 Run 	 Tracks: 820.000000 	 Weight: 0.000180 	 Events: 1387.000000 	 EventRate: 4.163428 
50 Run 	 Tracks: 68.000000 	 Weight: 0.000015 	 Events: 118.000000 	 EventRate: 4.880021 
51 Run 	 Tracks: 29453.000000 	 Weight: 0.006474 	 Events: 48267.000000 	 EventRate: 4.518905 
52 Run 	 Tracks: 50828.000000 	 Weight: 0.011172 	 Events: 83598.000000 	 EventRate: 4.137107 
53 Run 	 Tracks: 9065.000000 	 Weight: 0.001992 	 Events: 14980.000000 	 EventRate: 4.122660 
54 Run 	 Tracks: 109.000000 	 Weight: 0.000024 	 Events: 169.000000 	 EventRate: 7.864504 
55 Run 	 Tracks: 3078.000000 	 Weight: 0.000677 	 Events: 5091.000000 	 EventRate: 4.121463 
56 Run 	 Tracks: 9574.000000 	 Weight: 0.002104 	 Events: 15601.000000 	 EventRate: 4.105351 
57 Run 	 Tracks: 6565.000000 	 Weight: 0.001443 	 Events: 10872.000000 	 EventRate: 4.406241 
58 Run 	 Tracks: 19132.000000 	 Weight: 0.004205 	 Events: 31530.000000 	 EventRate: 4.307656 
59 Run 	 Tracks: 7568.000000 	 Weight: 0.001663 	 Events: 12446.000000 	 EventRate: 4.327300 
60 Run 	 Tracks: 59428.000000 	 Weight: 0.013062 	 Events: 97759.000000 	 EventRate: 2.573413 
61 Run 	 Tracks: 11643.000000 	 Weight: 0.002559 	 Events: 19134.000000 	 EventRate: 4.221169 
62 Run 	 Tracks: 7463.000000 	 Weight: 0.001640 	 Events: 12248.000000 	 EventRate: 4.132862 
63 Run 	 Tracks: 1394.000000 	 Weight: 0.000306 	 Events: 2292.000000 	 EventRate: 4.236642 
64 Run 	 Tracks: 33593.000000 	 Weight: 0.007384 	 Events: 55268.000000 	 EventRate: 4.138334 
65 Run 	 Tracks: 651.000000 	 Weight: 0.000143 	 Events: 1053.000000 	 EventRate: 4.042107 
